Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
sleuth_case2002,RotationForest,7,"{'max_depth': 97, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 90, 'n_features_per_subset': 2}",0.6,0.616071429,0.383928571,0.647727273,0.607142857,0.722014791,0.386007547,0.787892125
sleuth_case2002,RotationForest,8,"{'max_depth': None, 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 90, 'n_features_per_subset': 2}",0.428571429,0.428571429,0.571428571,0.422222222,0.326530612,0.38511429,0.357006311,0.79729324
sleuth_case2002,RotationForest,9,"{'max_depth': None, 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 90, 'n_features_per_subset': 2}",0.857142857,0.857142857,0.142857143,0.888888889,0.87755102,0.931318681,0.356006145,0.78228721
sleuth_case2002,RotationForest,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 62, 'n_features_per_subset': 3}",0.571428571,0.583333333,0.416666667,0.583333333,0.53125,0.619328068,0.242003202,0.789488169
sleuth_case2002,RotBoost,1,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.4008250214887118, 'n_estimators': 5, 'n_estimators_of_adaboost': 8, 'n_features_per_subset': 5}",0.733333333,0.741071429,0.258928571,0.75,0.723214286,0.830044435,0.112003326,0.780320529
sleuth_case2002,RotBoost,2,"{'adaboost_base_estimator__max_depth': 7, 'adaboost_learning_rate': 0.555372223530905, 'n_estimators': 6, 'n_estimators_of_adaboost': 6, 'n_features_per_subset': 2}",0.6,0.589285714,0.410714286,0.6,0.696428571,0.802171266,0.109999418,0.780297048
sleuth_case2002,RotBoost,3,"{'adaboost_base_estimator__max_depth': 2, 'adaboost_learning_rate': 0.12088262157031304, 'n_estimators': 9, 'n_estimators_of_adaboost': 4, 'n_features_per_subset': 2}",0.666666667,0.678571429,0.321428571,0.7,0.732142857,0.823511905,0.113999844,0.780342203
sleuth_case2002,RotBoost,4,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.2620969438236487, 'n_estimators': 6, 'n_estimators_of_adaboost': 5, 'n_features_per_subset': 5}",0.6,0.616071429,0.383928571,0.647727273,0.821428571,0.852430556,0.111997843,0.780344009
sleuth_case2002,RotBoost,5,"{'adaboost_base_estimator__max_depth': 1, 'adaboost_learning_rate': 0.34991000197892497, 'n_estimators': 7, 'n_estimators_of_adaboost': 7, 'n_features_per_subset': 3}",0.733333333,0.732142857,0.267857143,0.732142857,0.767857143,0.84024205,0.214005232,0.787913799
sleuth_case2002,RotBoost,6,"{'adaboost_base_estimator__max_depth': 2, 'adaboost_learning_rate': 0.691905409163162, 'n_estimators': 9, 'n_estimators_of_adaboost': 4, 'n_features_per_subset': 2}",0.8,0.803571429,0.196428571,0.803571429,0.875,0.877076569,0.111994982,0.787919218
